2026-02-25 15:57:43 | INFO     | __main__ |   환자 수: 200명
2026-02-25 15:57:43 | INFO     | __main__ |   시드: 7777 (학습 시드=42와 완전 독립)
2026-02-25 15:57:43 | INFO     | __main__ | ============================================================
2026-02-25 15:57:43 | INFO     | generate_emr_data | 독성 발생률: 80/200 (40.0%)
2026-02-25 15:57:43 | INFO     | __main__ | 생성 완료:
2026-02-25 15:57:43 | INFO     | __main__ |   환자: 200명
2026-02-25 15:57:43 | INFO     | __main__ |   CBC 검사: 762건
2026-02-25 15:57:43 | INFO     | __main__ |   예상 독성 발생: 80명 (40.0%)
2026-02-25 15:57:43 | INFO     | __main__ |   나이: 63.2 ± 7.6세
2026-02-25 15:57:43 | INFO     | __main__ |   성별: 남 128명, 여 72명
2026-02-25 15:57:43 | INFO     | __main__ |   레지멘: {'EP': 73, 'weekly_paclitaxel': 45, 'TP': 41, 'GP': 24, 'DP': 17}
2026-02-25 15:57:43 | INFO     | __main__ | ============================================================
2026-02-25 15:57:43 | INFO     | __main__ | External 데이터 전처리
2026-02-25 15:57:43 | INFO     | __main__ | ============================================================
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | ============================================================
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | EMR 전처리 파이프라인 시작
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | ============================================================
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 1단계: 치료 시작일 매핑
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 2단계: 검사 날짜 → Week 변환
2026-02-25 15:57:43 | WARNING  | src.data.preprocessing | Week 할당 불가 검사: 162건 (전체 762건 중 21.3%)
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | Week 할당 완료: Week 0=134건, Week 1=266건, Week 2=200건
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 3단계: Long → Wide 형식 변환
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | Week 0 CBC 결측 환자: 33.0%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | Week 1 CBC 결측 환자: 0.0%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | Week 2 CBC 결측 환자: 0.0%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | Wide 변환 완료: 200명, 18개 컬럼
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 4단계: 결측 Week 보간
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 보간 완료 (방법: linear), 잔여 결측: 396건
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 5단계: CTCAE Grade 계산
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | [neutropenia] Grade 분포: {0: 117, 1: 11, 2: 5, 3: 39, 4: 28}, Grade 3+ 발생률: 33.5%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | [anemia] Grade 분포: {0: 104, 1: 95, 2: 1}, Grade 3+ 발생률: 0.0%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | [thrombocytopenia] Grade 분포: {0: 175, 1: 25}, Grade 3+ 발생률: 0.0%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | [leukopenia] Grade 분포: {0: 124, 1: 25, 2: 24, 3: 26, 4: 1}, Grade 3+ 발생률: 13.5%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | [lymphopenia] Grade 분포: {0: 110, 1: 33, 2: 40, 3: 17}, Grade 3+ 발생률: 8.5%
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 6단계: 환자 정보 병합
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | 전처리 완료: 200명, 58개 변수
2026-02-25 15:57:43 | INFO     | src.data.preprocessing | ============================================================
2026-02-25 15:57:43 | INFO     | __main__ | 전처리 완료: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/data/processed/external_validation.csv (200명, 58변수)
2026-02-25 15:57:43 | INFO     | __main__ | ============================================================
2026-02-25 15:57:43 | INFO     | __main__ | External Validation 성능 평가
2026-02-25 15:57:43 | INFO     | __main__ | ============================================================
