2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: WBC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: ANC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: ALC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: AMC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: PLT
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: Hb
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 시계열 파생 변수 2개 생성 완료
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: WBC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: ANC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: ALC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: AMC
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: PLT
2026-02-25 15:44:46 | WARNING  | src.data.feature_engineer | 시계열 컬럼 누락, 건너뜀: Hb
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 시계열 파생 변수 2개 생성 완료
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 범주형 인코딩 완료: 6개 변수 (onehot)
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 범주형 인코딩 완료: 6개 변수 (onehot)
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 범주형 인코딩 완료: 6개 변수 (onehot)
2026-02-25 15:44:46 | INFO     | main | ============================================================
2026-02-25 15:44:46 | INFO     | main | 5단계: CBC 시계열 탐색적 분석
2026-02-25 15:44:46 | INFO     | main | ============================================================
2026-02-25 15:44:46 | WARNING  | main | AMC 시계열 시각화 실패: 'AMC_week0'
2026-02-25 15:44:46 | WARNING  | main | ANC 시계열 시각화 실패: 'ANC_week0'
2026-02-25 15:44:46 | WARNING  | main | WBC 시계열 시각화 실패: 'WBC_week0'
2026-02-25 15:44:46 | INFO     | main | ============================================================
2026-02-25 15:44:46 | INFO     | main | 6단계: 모델 학습 [baseline_only]
2026-02-25 15:44:46 | INFO     | main | ============================================================
2026-02-25 15:44:46 | INFO     | src.data.feature_engineer | 특성 선택 (baseline_only): baseline=23, cbc_raw=12, cbc_derived=2, 전체=23
2026-02-25 15:44:46 | INFO     | main | 
--- xgboost (baseline_only) ---
2026-02-25 15:44:47 | INFO     | src.models.baseline_models | XGBoost 학습 완료 - Val AUC: 0.6923
2026-02-25 15:44:47 | INFO     | src.evaluation.metrics | [xgboost_baseline_only] AUROC=0.4706, AUPRC=0.4372, Sens=0.3333, Spec=0.9412, Optimal Threshold=0.899
2026-02-25 15:44:47 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.4706 [0.0000 - 1.0000]
2026-02-25 15:44:47 | INFO     | src.evaluation.visualization | 특성 중요도 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/feature_importance_xgboost_baseline_only.png
2026-02-25 15:44:47 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/xgboost_baseline_only.pkl
2026-02-25 15:44:47 | INFO     | main | 
--- lightgbm (baseline_only) ---
2026-02-25 15:44:47 | INFO     | src.models.baseline_models | LightGBM 학습 완료 - Val AUC: 0.6923
2026-02-25 15:44:47 | INFO     | src.evaluation.metrics | [lightgbm_baseline_only] AUROC=0.3922, AUPRC=0.4252, Sens=0.3333, Spec=0.7059, Optimal Threshold=0.690
2026-02-25 15:44:47 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.3922 [0.0000 - 1.0000]
2026-02-25 15:44:47 | INFO     | src.evaluation.visualization | 특성 중요도 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/feature_importance_lightgbm_baseline_only.png
2026-02-25 15:44:47 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/lightgbm_baseline_only.pkl
2026-02-25 15:44:47 | INFO     | main | 
--- logistic_regression (baseline_only) ---
2026-02-25 15:44:48 | INFO     | src.models.baseline_models | Logistic Regression 학습 완료 - Val AUC: 0.7308
2026-02-25 15:44:48 | INFO     | src.evaluation.metrics | [logistic_regression_baseline_only] AUROC=0.1373, AUPRC=0.1148, Sens=0.0000, Spec=0.4118, Optimal Threshold=inf
2026-02-25 15:44:48 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.1373 [0.0000 - 0.4211]
2026-02-25 15:44:48 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/logistic_regression_baseline_only.pkl
2026-02-25 15:44:48 | INFO     | main | ============================================================
2026-02-25 15:44:48 | INFO     | main | 6단계: 모델 학습 [baseline_cbc]
2026-02-25 15:44:48 | INFO     | main | ============================================================
2026-02-25 15:44:48 | INFO     | src.data.feature_engineer | 특성 선택 (baseline_cbc): baseline=23, cbc_raw=12, cbc_derived=2, 전체=37
2026-02-25 15:44:48 | INFO     | main | 
--- xgboost (baseline_cbc) ---
